"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.521910772E2,6.507080667E1,2.550392500E1,1.561466000E1,1.126212239E0,3.293999939E2,1.700000048E0,1.100000000E1
1.531910772E2,6.507081833E1,2.550390833E1,1.531465707E1,1.155036688E0,3.250100098E2,1.700000048E0,1.069999981E1
1.541910772E2,6.507082833E1,2.550388667E1,1.511465508E1,1.148859978E0,3.283699951E2,1.700000048E0,1.100000000E1
1.551910772E2,6.507083500E1,2.550387500E1,1.511465355E1,1.147830606E0,3.224500122E2,1.700000048E0,1.110000038E1
1.561910772E2,6.507084000E1,2.550385333E1,1.541465331E1,1.122094393E0,3.294400024E2,1.600000024E0,1.080000019E1
1.571910772E2,6.507084667E1,2.550383667E1,1.561465214E1,1.100990891E0,3.278599854E2,1.700000048E0,1.100000000E1
1.581910772E2,6.507085333E1,2.550381667E1,1.561465120E1,1.127241611E0,3.193399963E2,1.700000048E0,1.100000000E1
1.591910772E2,6.507086333E1,2.550380333E1,1.591464862E1,1.149374723E0,3.248999939E2,1.700000048E0,1.110000038E1
1.601910772E2,6.507087167E1,2.550379333E1,1.641464639E1,1.158639669E0,3.170299988E2,1.700000048E0,1.139999962E1
1.611910772E2,6.507088333E1,2.550378167E1,1.701464311E1,1.154521942E0,3.341400146E2,1.700000048E0,1.139999962E1
1.621910772E2,6.507089500E1,2.550376833E1,1.741463995E1,1.169963598E0,3.216199951E2,1.799999952E0,1.089999962E1
1.631910772E2,6.507090833E1,2.550375833E1,1.771463597E1,1.103049755E0,3.236900024E2,1.799999952E0,1.100000000E1
1.641910772E2,6.507091833E1,2.550373833E1,1.811463385E1,1.076284170E0,3.218800049E2,1.799999952E0,1.119999981E1
1.651910772E2,6.507092667E1,2.550372000E1,1.851463221E1,1.051577449E0,3.288500061E2,1.799999952E0,1.139999962E1
1.661910772E2,6.507094000E1,2.550370000E1,1.911462892E1,1.046430230E0,3.260799866E2,1.700000048E0,1.110000038E1
1.671910772E2,6.507095333E1,2.550368167E1,1.951462552E1,1.046430230E0,3.274200134E2,1.700000048E0,1.100000000E1
1.681910772E2,6.507096333E1,2.550366333E1,1.981462329E1,1.031503320E0,3.122000122E2,1.700000048E0,1.130000019E1
1.691910772E2,6.507097167E1,2.550364333E1,1.981462176E1,1.046430230E0,3.219100037E2,1.600000024E0,1.139999962E1
1.701910772E2,6.507098500E1,2.550362000E1,1.971461871E1,1.112829447E0,3.293599854E2,1.600000024E0,1.139999962E1
1.711910772E2,6.507100000E1,2.550359667E1,1.991461507E1,1.152977824E0,3.251199951E2,1.600000024E0,1.139999962E1
1.721910772E2,6.507101000E1,2.550358000E1,2.001461272E1,1.164301634E0,3.301600037E2,1.500000000E0,1.150000000E1
1.731910772E2,6.507102167E1,2.550356000E1,1.991461002E1,1.221435785E0,3.234899902E2,1.500000000E0,1.139999962E1
1.741910772E2,6.507103167E1,2.550354000E1,1.961460790E1,1.242539406E0,3.260000000E2,1.500000000E0,1.150000000E1
1.751910772E2,6.507104333E1,2.550353000E1,1.971460450E1,1.260040045E0,3.398800049E2,1.500000000E0,1.139999962E1
1.761910772E2,6.507105667E1,2.550352333E1,1.971460028E1,1.266731381E0,3.345299988E2,1.600000024E0,1.100000000E1
1.771910772E2,6.507106167E1,2.550350667E1,1.941459969E1,1.273422837E0,3.297200012E2,1.600000024E0,1.139999962E1
1.781910772E2,6.507107000E1,2.550349500E1,1.891459757E1,1.285261393E0,3.441300049E2,1.600000024E0,1.130000019E1
1.791910772E2,6.507108167E1,2.550350167E1,1.811459301E1,1.288864493E0,1.615999985E1,1.600000024E0,1.089999962E1
1.801910772E2,6.507109000E1,2.550351167E1,1.741458939E1,1.257981062E0,3.224000168E1,1.600000024E0,1.060000038E1
1.811910772E2,6.507109833E1,2.550352333E1,1.691458565E1,1.232244968E0,5.354000092E1,1.600000024E0,1.039999962E1
1.821910772E2,6.507110000E1,2.550353833E1,1.631458402E1,1.200846910E0,8.569999695E1,1.600000024E0,1.019999981E1
1.831910772E2,6.507109833E1,2.550355000E1,1.571458379E1,1.148345232E0,8.150000000E1,1.600000024E0,1.039999962E1
1.841910772E2,6.507110000E1,2.550356333E1,1.551458228E1,1.080916643E0,7.184999847E1,1.600000024E0,1.050000000E1
1.851910772E2,6.507109500E1,2.550357833E1,1.481458299E1,1.086063862E0,9.920999908E1,1.500000000E0,1.050000000E1
1.861910772E2,6.507109333E1,2.550360833E1,1.481458148E1,1.103564501E0,9.573999786E1,1.600000024E0,1.050000000E1
1.871910772E2,6.507109167E1,2.550363333E1,1.491458032E1,1.128271103E0,1.055000000E2,1.600000024E0,1.050000000E1
1.881910772E2,6.507109000E1,2.550366000E1,1.521457905E1,1.146801114E0,1.044000015E2,1.600000024E0,1.050000000E1
1.891910772E2,6.507109333E1,2.550368167E1,1.621457637E1,1.167904735E0,1.067600021E2,1.600000024E0,1.060000038E1
1.901910772E2,6.507109167E1,2.550371167E1,1.661457486E1,1.163786888E0,1.024199982E2,1.600000024E0,1.080000019E1
